Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,,,,,,,0^0^3
3.9,1,2^(rand^rand),,,,,,
7.9,1,2^(rand^rand),2,,,,,
11.9,1,2^(rand^rand),2,,,,,
15.9,1,2^(rand^rand),2,,,,,
19.9,1,2^(rand^rand),2,,,,,
23.9,1,2^(rand^rand),2,,,,,
27.9,1,2^(rand^rand),2,,,,,
31.9,1,,2,,,,,
42,,2^(rand^rand),,,,,,
44,1,2^(rand^rand),2,,,,,
46,1,2^(rand^rand),2,,,,,
48,1,2^(rand^rand),2,,,,,
52,1,2^(rand^rand),2,,,,,
54,1,2^(rand^rand),2,,,,,
56,1,,2,,,,,
58,,2^(rand^rand),,,,,,
60,1,2^(rand^rand),2,,,,,
62,1,2^(rand^rand),2,,,,,
64,1,2^(rand^rand),2,,,,,
65,,2^(rand^rand),,,,,,
66,1,2^(rand^rand),2,,,,,
67,1,,2,,,,,
68,1,2^(rand^rand),2,,,,,
70,1,2^(rand^rand),2,,,,,
72,1,2^(rand^rand),2,,,,,
73,,2^(rand^rand),,,,,,
74,1,2^(rand^rand),2,,,,,
75,1,,2,,,,,
76,1,2^(rand^rand),2,,,,,
78,1,2^(rand^rand),2,,,,,
80,1,2^(rand^rand),2,,,,,
81,,2^(rand^rand),,,,,,
82,1,2^(rand^rand),2,,,,,
83,1,,2,,,,,
84,1,2^(rand^rand),2,,,,,
86,1,2^(rand^rand),2,,,,,
88,1,2^(rand^rand),2,,,,,
89,,2^(rand^rand),,,,,,
90,1,2^(rand^rand),2,,,,,
91,1,,2,,,,,
92,1,2^(rand^rand),2,,,,,
94,1,2^(rand^rand),2,,,,,
96,1,,2,,,,,
98,,2^(rand^rand),,,,,,
100,1,2^(rand^rand),2,,,,,
102,1,2^(rand^rand),2,,,,,
104,1,2^(6^4),2,,,,,
108,1,2^(6^-4),2,,,,,
112,1,2^(-6^-4),2,,,,,
116,1,2^(-6^4),2,,,,,
120,1,2^(6^4),2,,,,,
124,1,2^(6^-4),2,,,,,
128,1,2^(-6^-4),2,,,,,
132,1,2^(-6^4),2,,,,,
136,1,2^(6^4),2,,,,,
141,1,2^(6^0),2,,,,,
143,1,2^(6^-4),2,,,,,
145,1,2^(2^-4),2,,,,,
147,1,2^(-6^-4),2,,,,,
149,1,2^(-6^-0),2,,,,,
151,1,2^(-6^4),2,,,,,
153,1,2^(-2^4),2,,,,,
155,1,2^(6^4),2,,,,,
157,1,2^(6^0),2,,,,,
159,1,2^(6^-4),2,,,,,
161,1,2^(2^-4),2,,,,,
163,1,2^(-6^-4),2,,,,,
165,1,2^(-6^-0),2,,,,,
167,1,2^(-6^4),2,,,,,
169,1,2^(-2^4),2,,,,,
170,,2^(rand^rand),,,,,,
171,1,,2,,,,,
172,1,2^(rand^rand),2,,,,,
174,1,2^(rand^rand),2,,,,,
176,1,2^(rand^rand),2,,,,,
180,1,2^(rand^rand),2,,,,,
182,1,2^(rand^rand),2,,,,,
184,1,,2,,,,,
186,,,,,right,,,0^0^4
187,,2^(9^rand),,,,,,
188,,,,2^(1.5^0)^48,,,,
189,1,2^(9^rand),2,,,,,
190,,,,,,,,
191,1,2^(9^rand),2,,,,,
192,,,,,,,,
193,1,2^(9^rand),2,,,,,
194,,,,,,,,
195,1,2^(9^rand),2,,,,,
196,,,,,,,,
197,1,2^(9^rand),2,,,,,
198,,,,,,,,
199,1,2^(9^rand),2,,,,,
200,,,,,,,,
201,1,2^(9^rand),2,,,,,
202,,,,,,,,
203,1,2^(9^rand),2,,,,,
204,,,,,,,,
205,1,2^(9^rand),2,,,,,
206,,,,,,,,
207,1,2^(9^rand),2,,,,,
208,,,,,,,,
209,1,2^(9^rand),2,,,,,
210,,,,,,,,
211,1,2^(9^rand),2,,,,,
212,,,,,,,,
213,1,2^(9^rand),2,,,,,
214,,,,,,,,
215,1,2^(9^rand),2,,,,,
216,,,,,,,,
217,1,2^(9^rand),2,,,,,
218,,,,,,,,
219,1,2^(9^rand),2,,,,,
220,,,,,,,,
221,1,2^(9^rand),2,,,,,
222,,,,,,,,
223,1,2^(9^rand),2,,,,,
224,,,,,,,,
225,1,2^(9^rand),2,,,,,
226,,,,,,,,
227,1,2^(9^rand),2,,,,,
228,,,,,,,,
229,1,2^(9^rand),2,,,,,
230,,,,,,,,
231,1,2^(9^rand),2,,,,,
232,,,,,,,,
233,1,2^(9^rand),2,,,,,
234,,2^(5^rand),,,,,,
235,1,,2,,,,,
236,1,2^rand^rand),2,,,,,
240,1,2^rand^rand),2,,,,,
244,1,2^rand^rand),2,,,,,
248,1,,2,,,,,
255.5,,2^(rand^rand),,,,,,
259.75,1,2^(rand^rand),2,,,,,
