Time,Notes,Spawn,Attack,Camera,Event,Lyrics,Timer,Obstacle
0,,,,,,,,0^0^10
4,,1^(rand^rand),,,,,,
8,1,1^(rand^rand),1,,,,,
12,1,1^(rand^rand),1,,,,,
16,1,1^(rand^rand),1,,,,,
20,1,1^(rand^rand),1,,,,,
24,1,1^(rand^rand),1,,,,,
28,1,1^(rand^rand),1,,,,,
32,1,1^(rand^rand),1,,,,,
36,1,1^(rand^rand),1,,,,,
40,1,1^(rand^rand),1,,,,,
44,1,1^(rand^rand),1,,,,,
48,1,1^(rand^rand),1,,,,,
52,1,1^(rand^rand),1,,,,,
56,1,1^(rand^rand),1,,,,,
60,1,1^(rand^rand),1,,,,,
64,1,1^(rand^rand),1,,,,,
68,1,1^(rand^rand),1,,,,,
70,,1^(rand^rand),,,,,,
72,1,1^(rand^rand),1,,,,,
75,1,1^(rand^rand),1,,,,,
78,1,1^(rand^rand),1,,,,,
80,1,1^(rand^rand),1,,,,,
83,1,1^(rand^rand),1,,,,,
86,1,1^(rand^rand),1,,,,,
88,1,1^(rand^rand),1,,,,,
91,1,1^(rand^rand),1,,,,,
94,1,1^(rand^rand),1,,,,,
96,1,1^(rand^rand),1,,,,,
99,1,1^(rand^rand),1,,,,,
102,1,1^(rand^rand),1,,,,,
104,1,1^(rand^rand),1,,,,,
107,1,1^(rand^rand),1,,,,,
110,1,1^(rand^rand),1,,,,,
112,1,1^(rand^rand),1,,,,,
115,1,1^(rand^rand),1,,,,,
118,1,1^(rand^rand),1,,,,,
120,1,1^(rand^rand),1,,,,,
123,1,1^(rand^rand),1,,,,,
126,1,1^(rand^rand),1,,,,,
128,1,,1,,,,,
131,1,,1,,,,,
134,,,,,,,,
144,1,,,,,,,1^1^(5^0)^(-9^-3)
152,1,,,,,,,1^1^(0^-5)^(-6^5.5)
160,1,,,,,,,1^1^(-5^0)^(9^3)
168,1,,,,,,,1^1^(0^5)^(6^-5.5)
176,1,1^(rand^rand),,,,,,3^1
177,1,,,,,,,3^1
178,1,,,,,,,3^1
179,1,,,,,,,3^1
182,1,,1,,,,,
184,1,1^(rand^rand),,,,,,3^1
185,1,,,,,,,3^1
186,1,,,,,,,3^1
187,1,,,,,,,3^1
190,1,,1,,,,,
192,1,1^(rand^rand),,,,,,3^1
193,1,,,,,,,3^1
194,1,,,,,,,3^1
195,1,,,,,,,3^1
198,1,,1,,,,,
200,1,1^(rand^rand),,,,,,3^1
201,1,,,,,,,3^1
202,1,,,,,,,3^1
203,1,,,,,,,3^1
206,1,,1,,,,,
208,,,,,,,,1^1^(5^0)^(-9^-3)
208,1,1^(rand^rand),,,,,,3^1
209,1,,,,,,,3^1
210,1,,,,,,,3^1
211,1,,,,,,,3^1
214,1,,1,,,,,
216,,,,,,,,1^1^(0^-5)^(-6^5.5)
216,1,1^(rand^rand),,,,,,3^1
217,1,,,,,,,3^1
218,1,,,,,,,3^1
219,1,,,,,,,3^1
222,1,,1,,,,,
224,,,,,,,,1^1^(-5^0)^(9^3)
224,1,1^(rand^rand),,,,,,3^1
225,1,,,,,,,3^1
226,1,,,,,,,3^1
227,1,,,,,,,3^1
230,1,,1,,,,,
232,,,,,,,,1^1^(0^5)^(6^-5.5)
232,1,1^(rand^rand),,,,,,3^1
233,1,,,,,,,3^1
234,1,,,,,,,3^1
235,1,,,,,,,3^1
238,1,,1,,,,,
240,1,1^(rand^rand),,,,,,3^1
241,1,1^(rand^rand),,,,,,3^1
242.5,1,,1,,,,,3^1
243.5,1,1^(rand^rand),1,,,,,3^1
246,1,,1,,,,,3^1
248,1,1^(rand^rand),,,,,,3^1
249,1,1^(rand^rand),,,,,,3^1
250.5,1,,1,,,,,3^1
251.5,1,1^(rand^rand),1,,,,,3^1
254,1,,1,,,,,3^1
256,1,1^(rand^rand),,,,,,3^1
257,1,1^(rand^rand),,,,,,3^1
258.5,1,,1,,,,,3^1
259.5,1,1^(rand^rand),1,,,,,3^1
262,1,,1,,,,,3^1
264,1,1^(rand^rand),,,,,,3^1
265,1,1^(rand^rand),,,,,,3^1
266.5,1,,1,,,,,3^1
267.5,1,1^(rand^rand),1,,,,,3^1
270,1,,1,,,,,3^1
272,,,,,,,,1^1^(5^0)^(-9^-3)
272,1,1^(rand^rand),,,,,,3^1
273,1,1^(rand^rand),,,,,,3^1
274.5,1,,1,,,,,3^1
275.5,1,1^(rand^rand),1,,,,,3^1
278,1,,1,,,,,3^1
280,,,,,,,,1^1^(0^-5)^(-6^5.5)
280,1,1^(rand^rand),,,,,,3^1
281,1,1^(rand^rand),,,,,,3^1
282.5,1,,1,,,,,3^1
283.5,1,1^(rand^rand),1,,,,,3^1
286,1,,1,,,,,3^1
288,,,,,,,,1^1^(-5^0)^(9^3)
288,1,1^(rand^rand),,,,,,3^1
289,1,1^(rand^rand),,,,,,3^1
290.5,1,,1,,,,,3^1
291.5,1,1^(rand^rand),1,,,,,3^1
294,1,,1,,,,,3^1
296,,,,,,,,1^1^(0^5)^(6^-5.5)
296,1,1^(rand^rand),,,,,,3^1
297,1,1^(rand^rand),,,,,,3^1
298.5,1,,1,,,,,3^1
299.5,1,1^(rand^rand),1,,,,,3^1
302,1,1^(rand^rand),1,,,,,3^1
304,1,1^(rand^rand),1,,,,,3^1
305,1,1^(rand^rand),,,,,,3^1
308,1,,1,,,,,3^1
310,1,1^(rand^rand),1,,,,,3^1
312,1,1^(rand^rand),1,,,,,3^1
313,1,1^(rand^rand),,,,,,3^1
316,1,,1,,,,,3^1
318,1,1^(rand^rand),1,,,,,3^1
320,1,1^(rand^rand),1,,,,,3^1
321,1,1^(rand^rand),,,,,,3^1
324,1,,1,,,,,3^1
326,1,1^(rand^rand),1,,,,,3^1
328,1,1^(rand^rand),1,,,,,3^1
329,1,1^(rand^rand),,,,,,3^1
332,1,,1,,,,,3^1
334,1,1^(rand^rand),1,,,,,3^1
336,,,,,,,,1^1^(5^0)^(-9^-3)
336,1,1^(rand^rand),1,,,,,3^1
337,1,1^(rand^rand),,,,,,3^1
339,1,,1,,,,,3^1
340,1,1^(rand^rand),1,,,,,3^1
342,1,1^(rand^rand),1,,,,,3^1
344,,,,,,,,1^1^(0^-5)^(-6^5.5)
344,1,1^(rand^rand),1,,,,,3^1
345,1,1^(rand^rand),,,,,,3^1
347,1,,1,,,,,3^1
348,1,1^(rand^rand),1,,,,,3^1
350,1,1^(rand^rand),1,,,,,3^1
352,,,,,,,,1^1^(-5^0)^(9^3)
352,1,1^(rand^rand),1,,,,,3^1
353,1,1^(rand^rand),,,,,,3^1
355,1,,1,,,,,3^1
356,1,1^(rand^rand),1,,,,,3^1
358,1,1^(rand^rand),1,,,,,3^1
360,,,,,,,,1^1^(0^5)^(6^-5.5)
360,1,1^(rand^rand),1,,,,,3^1
361,1,1^(rand^rand),,,,,,3^1
363,1,,1,,,,,3^1
364,1,1^(rand^rand),1,,,,,3^1
366,1,,1,,,,,3^1
368,1,,,,,,,1^1^(5^0)^(-9^-3)
376,1,,,,,,,1^1^(0^-5)^(-6^5.5)
384,1,,,,,,,1^1^(-5^0)^(9^3)
392,1,,,,,,,1^1^(0^5)^(6^-5.5)
422,,1^(rand^rand),,,,,,
423,,2^(rand^rand),,,,,,
424,1,1^(rand^rand),1,,,,,
425,1,2^(rand^rand),2,,,,,
426,1,1^(rand^rand),1,,,,,
427,1,2^(rand^rand),2,,,,,
428,1,1^(rand^rand),1,,,,,
429,1,2^(rand^rand),2,,,,,
430,1,1^(rand^rand),1,,,,,
431,1,2^(rand^rand),2,,,,,
432,1,1^(rand^rand),1,,,,,
433,1,2^(rand^rand),2,,,,,
434,1,1^(rand^rand),1,,,,,
435,1,2^(rand^rand),2,,,,,
436,1,1^(rand^rand),1,,,,,
437,1,2^(rand^rand),2,,,,,
438,1,1^(rand^rand),1,,,,,
439,1,2^(rand^rand),2,,,,,
440,1,1^(rand^rand),1,,,,,
441,1,2^(rand^rand),2,,,,,
442,1,1^(rand^rand),1,,,,,
443,1,2^(rand^rand),2,,,,,
444,1,1^(rand^rand),1,,,,,
445,1,2^(rand^rand),2,,,,,
446,1,1^(rand^rand),1,,,,,
447,1,2^(rand^rand),2,,,,,
448,1,1^(rand^rand),1,,,,,
449,1,2^(rand^rand),2,,,,,
450,1,1^(rand^rand),1,,,,,
451,1,2^(rand^rand),2,,,,,
452,1,1^(rand^rand),1,,,,,
453,1,2^(rand^rand),2,,,,,
454,1,1^(rand^rand),1,,,,,
455,1,2^(rand^rand),2,,,,,
456,1,1^(rand^rand),1,,,,,
457,1,2^(rand^rand),2,,,,,
458,1,1^(rand^rand),1,,,,,
459,1,2^(rand^rand),2,,,,,
460,1,1^(rand^rand),1,,,,,
461,1,2^(rand^rand),2,,,,,
462,1,1^(rand^rand),1,,,,,
463,1,2^(rand^rand),2,,,,,
464,1,1^(rand^rand),1,,,,,
465,1,2^(rand^rand),2,,,,,
466,1,1^(rand^rand),1,,,,,
467,1,2^(rand^rand),2,,,,,
468,1,1^(rand^rand),1,,,,,
469,1,2^(rand^rand),2,,,,,
470,1,1^(rand^rand),1,,,,,
471,1,2^(rand^rand),2,,,,,
472,1,1^(rand^rand),1,,,,,
473,1,2^(rand^rand),2,,,,,
474,1,1^(rand^rand),1,,,,,
475,1,2^(rand^rand),2,,,,,
476,1,1^(rand^rand),1,,,,,
477,1,2^(rand^rand),2,,,,,
478,1,1^(rand^rand),1,,,,,
479,1,2^(rand^rand),2,,,,,
480,1,1^(rand^rand),1,,,,,
481,1,2^(rand^rand),2,,,,,
482,1,1^(rand^rand),1,,,,,
